,pais,localidad,enfermedad,fecha,latitud,longitud
0,Argentina,Gral. Roca - Rio Negro,Tizón Temprano,2022-08-10,-39.03333,-67.58333
1,Bolivia,Saipina - Santa Cruz,Mancha Bacteriana,2022-08-07,-18.0936,-64.5829
2,Chile,Valle de Azapa - Arica,Mancha Bacteriana,2022-08-12,-18.5100716,-70.2302623
3,Chile,Valle de Azapa - Arica,Tizon Temprano,2022-08-09,-18.5102252,-70.2351231
4,Chile,Valle de Lluta - Arica,Mancha Bacteriana,2022-08-11,-18.40178,-70.25581
5,Colombia,Cali,Tizon Temprano,2022-08-08,3.43722,-76.5225
6,Chile,Valle de Azapa - Arica,Mancha Bacteriana,2022-08-13,-18.515065,-70.2228901
7,Argentina,Neuquén,Tizon Temprano,2023-06-05,-38.9516,-68.0591
8,Bolivia,La Paz,Tomate Sano,2023-12-15,-16.5,-68.15
9,Bolivia,La Paz,Tizon Temprano,2023-12-16,-16.5,-68.15
10,Bolivia,Cochabamba,Tizon Temprano,2023-12-26,-17.3895,-66.1568
11,Bolivia,Cochabamba,Tizon Temprano,2023-12-26,-17.3895,-66.1568
12,Bolivia,Cochabamba,Tizon Temprano,2023-12-26,-17.3895,-66.1568
13,Bolivia,Cochabamba,Tizon Temprano,2023-12-26,-17.3895,-66.1568
14,Bolivia,Cochabamba,Mancha Bacteriana,2023-12-26,-17.3895,-66.1568
15,Bolivia,La Paz,Tizon Temprano,2023-12-30,-16.5,-68.15
16,Bolivia,Santa Cruz de la Sierra,Tizon Temprano,2024-01-09,-17.7863,-63.1812
17,Bolivia,Santa Cruz de la Sierra,Mancha Bacteriana,2024-01-21,-17.7863,-63.1812
18,Bolivia,Santa Cruz de la Sierra,Tizon Temprano,2024-01-21,-17.7863,-63.1812
19,Bolivia,Cochabamba,Tizon Temprano,2024-01-25,-17.3895,-66.1568
20,Bolivia,Cochabamba,Tizon Temprano,2024-01-25,-17.3895,-66.1568
21,Bolivia,La Paz,Mancha Bacteriana,2024-02-02,-16.5,-68.15
22,Bolivia,La Paz,Tomate Sano,2024-02-09,-16.5000,-68.1500
